Student_ID,Age,Gender,Sleep_Hours,Study_Hours,Screen_Time_Hours,Exercise_Days_Per_Week,Social_Support_Score,Academic_Pressure_Score,Financial_Pressure_Score,Stress_Score,Stress_Level
142,20,Male,8.1,5.1,9.2,4,1,3,1,58.1,Medium
143,20,Male,4.0,1.8,4.9,1,3,5,4,89.1,High
144,22,Female,6.6,7.5,2.2,3,5,4,5,59.8,Medium
145,20,Male,6.7,6.3,5.0,5,1,2,1,35.1,Low
146,20,Male,7.4,3.4,4.9,1,5,2,4,45.0,Medium
147,21,Female,4.6,1.1,1.0,6,5,1,2,11.5,Low
148,19,Female,4.5,6.6,5.4,2,3,5,4,76.5,High
149,21,Female,7.0,4.0,5.0,1,4,4,5,77.4,High
150,21,Female,6.7,6.4,7.0,1,2,2,4,72.6,High
151,18,Female,6.7,1.3,9.6,5,4,5,3,62.5,Medium
152,21,Female,6.8,3.1,8.0,2,3,1,5,55.4,Medium
153,22,Female,5.3,4.2,4.9,6,3,3,2,58.9,Medium
154,22,Male,6.6,4.3,3.1,4,3,5,3,67.9,Medium
155,24,Female,6.7,3.4,11.2,4,1,5,4,81.2,High
156,18,Male,5.3,5.3,5.6,1,4,3,5,71.1,High
157,24,Male,8.9,2.3,5.5,2,4,5,2,66.5,Medium
158,24,Male,7.0,3.9,5.4,2,5,1,3,36.6,Low
159,23,Male,4.6,4.4,5.9,6,5,1,2,38.3,Low
160,19,Female,7.2,5.1,5.2,5,5,3,4,52.0,Medium
161,19,Male,4.9,5.5,4.2,3,3,4,2,60.2,Medium
162,21,Female,7.4,2.2,4.3,4,4,2,1,22.3,Low
163,21,Female,7.9,1.4,5.4,5,3,4,3,54.0,Medium
164,23,Male,5.2,6.5,4.3,0,1,5,2,94.1,High
165,21,Female,7.6,4.8,3.9,4,5,2,4,47.4,Medium
166,19,Female,6.9,2.9,5.7,5,3,3,4,47.3,Medium
167,24,Male,7.5,7.0,4.9,4,3,3,2,53.8,Medium
168,20,Male,9.0,4.4,8.8,3,1,2,4,65.7,Medium
169,22,Male,6.0,6.3,1.0,0,2,1,5,46.6,Medium
170,20,Female,5.2,4.3,7.9,3,4,2,5,76.3,High
171,20,Male,5.1,7.9,8.2,6,2,5,5,100.0,High
172,19,Female,5.2,7.4,1.0,0,5,1,1,55.3,Medium
173,20,Male,6.2,3.8,4.7,1,3,3,2,58.1,Medium
174,23,Male,6.8,5.9,4.7,5,1,2,1,44.9,Medium
175,18,Male,6.7,5.4,2.4,0,1,4,4,82.7,High
176,21,Male,7.5,6.7,3.8,6,4,4,1,51.0,Medium
177,18,Female,6.3,2.5,3.1,6,2,5,4,76.8,High
178,24,Male,8.3,5.4,9.4,3,4,4,4,75.0,High
179,22,Male,5.9,6.1,7.6,4,3,2,3,55.9,Medium
180,21,Female,9.0,1.0,8.3,0,4,2,5,60.9,Medium
181,20,Male,7.2,2.1,7.1,5,1,4,4,60.0,Medium
182,22,Female,5.1,0.5,3.0,0,1,2,3,56.4,Medium
183,21,Male,4.8,3.7,4.3,2,5,5,5,93.5,High
184,23,Male,7.0,5.5,6.6,4,5,1,4,29.4,Low
185,23,Male,6.0,6.9,2.8,5,3,5,4,68.5,Medium
186,23,Female,7.3,4.3,7.1,5,2,5,1,69.8,Medium
187,23,Male,7.0,7.1,5.0,1,4,2,1,46.8,Medium
188,20,Male,6.2,1.7,4.7,3,3,1,5,38.1,Low
189,18,Male,5.1,1.1,7.1,1,5,2,4,52.1,Medium
190,21,Female,4.2,4.1,6.5,5,4,3,2,47.9,Medium
191,20,Female,5.7,4.9,4.7,4,5,2,1,43.8,Medium
192,23,Male,7.5,4.1,8.1,0,4,2,5,59.3,Medium
193,24,Female,6.6,0.5,3.1,0,2,2,4,65.9,Medium
194,18,Male,4.6,4.0,6.9,4,3,1,4,54.0,Medium
195,24,Male,6.5,1.9,6.8,5,4,2,2,35.7,Low
196,22,Male,6.8,5.4,4.8,6,1,1,5,46.0,Medium
197,24,Male,5.1,4.9,6.2,0,1,4,4,87.4,High
198,22,Male,6.5,2.5,2.7,6,4,3,1,33.0,Low
199,22,Female,6.4,3.3,7.5,0,4,1,2,63.4,Medium
200,23,Female,4.7,2.3,5.1,0,4,4,5,77.1,High
201,22,Female,6.8,4.1,4.4,3,1,1,2,37.3,Low
202,19,Female,7.1,5.9,7.8,3,1,1,1,44.6,Medium
203,21,Male,7.8,2.4,4.0,2,4,3,5,62.1,Medium
204,21,Male,7.8,5.1,2.4,1,5,5,2,45.9,Medium
205,23,Male,4.4,3.2,2.1,4,5,5,3,69.0,Medium
206,19,Male,5.0,2.8,6.8,4,2,1,1,34.3,Low
207,24,Other,7.0,4.0,2.7,4,3,2,1,35.8,Low
208,20,Male,7.0,2.3,9.4,2,5,4,1,52.3,Medium
209,24,Male,7.0,3.2,1.0,3,1,2,3,24.4,Low
210,20,Male,9.0,2.0,9.2,5,5,2,3,36.4,Low
211,22,Female,7.1,7.7,6.0,6,2,1,4,49.0,Medium
212,18,Female,7.9,4.3,5.3,6,2,1,2,23.8,Low
213,20,Female,7.6,2.9,4.3,5,3,1,4,27.4,Low
214,18,Male,7.2,4.6,6.4,2,5,1,2,22.4,Low
215,21,Male,5.9,4.0,5.4,5,1,5,3,83.4,High
216,18,Female,7.4,3.8,7.9,4,1,1,3,53.0,Medium
217,21,Female,5.2,5.3,5.8,1,4,5,4,78.7,High
218,19,Male,6.0,5.6,5.8,0,1,5,5,93.7,High
219,19,Female,5.6,3.2,4.7,6,3,1,4,39.3,Low
220,23,Female,6.4,3.2,5.4,3,3,3,2,70.2,High
221,23,Male,9.0,3.7,6.2,3,1,4,4,70.3,High
222,22,Female,3.7,0.5,1.7,2,1,2,1,39.8,Low
223,20,Female,7.3,1.5,2.5,3,4,5,2,55.5,Medium
224,22,Male,4.0,6.7,7.1,4,1,4,2,71.2,High
225,21,Male,5.6,7.2,5.9,6,4,3,5,70.9,High
226,22,Male,7.8,3.8,5.1,5,4,2,3,49.1,Medium
227,18,Female,6.4,5.2,5.5,4,1,2,2,64.6,Medium
228,21,Female,4.8,4.8,6.3,2,2,5,3,93.5,High
229,23,Female,5.3,9.7,4.3,4,2,1,4,52.3,Medium
230,19,Male,7.3,6.2,3.8,5,4,3,1,28.3,Low
231,23,Male,5.3,4.0,5.9,1,1,5,5,85.4,High
232,20,Female,6.6,2.5,3.3,2,2,3,3,32.5,Low
233,21,Male,6.4,1.3,6.4,1,1,1,2,50.7,Medium
234,21,Female,5.4,4.6,1.8,0,1,1,3,50.1,Medium
235,18,Female,9.0,2.8,7.8,1,1,5,2,79.1,High
236,20,Female,7.2,1.6,6.5,0,5,1,3,48.0,Medium
237,19,Female,3.5,3.0,6.1,0,1,4,2,85.5,High
238,24,Male,6.6,2.3,7.7,1,5,2,4,53.6,Medium
239,21,Male,5.4,7.2,9.2,2,4,5,2,80.9,High
240,21,Female,7.5,5.8,7.7,5,2,3,2,52.3,Medium
241,18,Male,5.2,4.2,1.5,4,2,4,1,61.3,Medium
242,22,Female,6.1,6.9,2.7,4,2,5,2,69.0,Medium
243,19,Male,7.0,4.3,4.1,5,2,1,1,25.1,Low
244,23,Male,7.5,2.6,5.6,6,2,1,5,40.0,Medium
245,20,Female,4.6,6.9,6.6,6,2,1,1,51.2,Medium
246,21,Male,5.8,5.2,3.9,0,2,1,4,49.9,Medium
247,21,Female,5.6,2.3,5.9,0,4,3,1,53.3,Medium
248,23,Female,5.4,3.9,3.8,2,1,4,5,83.8,High
249,19,Female,8.8,2.6,4.2,3,3,2,4,48.4,Medium
250,22,Male,6.9,1.7,2.4,1,5,3,3,41.8,Medium
